Nombre,Plataforma,Genero,V_Global,Score,ESRB,Exito
Alter Ego,PC,Simulation,0.03,59.0,T,0
SimCity,PC,Simulation,0.03,64.0,E10+,0
Doom,PC,Shooter,0.03,85.0,M,0
Battle Arena Toshinden,PS,Fighting,1.27,69.0,T,1
Tomb Raider,PC,Action,1.03,86.0,M,1
Tekken 2,PS,Fighting,5.74,89.0,T,1
Tomb Raider,PS,Action,4.63,91.0,T,1
Super Puzzle Fighter II Turbo,PS,Puzzle,0.14,83.0,E,0
PaRappa The Rapper,PS,Misc,1.92,92.0,K-A,1
Resident Evil,PS,Action,5.05,91.0,M,1
Diablo,PC,Role-Playing,1.59,94.0,M,1
Half-Life,PC,Shooter,4.12,96.0,M,1
Final Fantasy VII,PS,Role-Playing,9.72,92.0,T,1
Alundra,PS,Role-Playing,0.23,86.0,T,0
Final Fantasy Tactics,PS,Role-Playing,2.45,83.0,T,1
Castlevania: Symphony of the Night,PS,Platform,1.27,93.0,T,1
Colony Wars,PS,Simulation,0.42,91.0,E,0
Ace Combat 2,PS,Simulation,0.89,83.0,T,0
Gran Turismo,PS,Racing,10.95,96.0,E,1
Elemental Gearbolt,PS,Shooter,0.06,76.0,T,0
Tomb Raider II,PS,Action,5.24,85.0,T,1
Bushido Blade,PS,Fighting,1.16,83.0,T,1
Tenchu: Stealth Assassins,PS,Action,1.99,87.0,M,1
RPG Maker,PS,Role-Playing,0.5,66.0,E,0
Riven: The Sequel to Myst,PC,Adventure,2.43,83.0,E,1
RayStorm,PS,Shooter,0.07,79.0,E,0
Oddworld: Abe's Oddysee,PS,Platform,1.24,85.0,T,1
Crash Bandicoot 3: Warped,PS,Platform,7.13,91.0,E,1
Street Fighter Alpha 3,PS,Fighting,1.03,93.0,T,1
Gundam Battle Assault,PS,Fighting,0.23,61.0,T,0
Oddworld: Abe's Exoddus,PS,Platform,0.99,88.0,T,0
Parasite Eve,PS,Role-Playing,2.1,81.0,M,1
Tekken 3,PS,Fighting,7.16,96.0,T,1
Dead or Alive,PS,Fighting,0.28,84.0,T,0
Monster Rancher 2,PS,Simulation,1.05,83.0,E,1
Silhouette Mirage,PS,Platform,0.05,69.0,E,0
Suikoden II,PS,Role-Playing,0.68,82.0,T,0
Medal of Honor,PS,Shooter,2.67,92.0,T,1
Grand Theft Auto 2,PS,Action,3.42,70.0,T,1
Brave Fencer Musashi,PS,Role-Playing,1.14,81.0,E,1
Metal Gear Solid,PS,Action,6.03,94.0,M,1
StarCraft,PC,Strategy,0.05,88.0,T,0
Lunar: Silver Star Story Complete,PS,Role-Playing,0.55,78.0,T,0
ISS Pro Evolution,PS,Sports,0.76,94.0,E,0
Resident Evil 2,PS,Action,5.82,89.0,M,1
Xenogears,PS,Role-Playing,1.46,84.0,T,1
Clock Tower II: The Struggle Within,PS,Adventure,0.17,49.0,M,0
Bomberman Party Edition,PS,Puzzle,0.12,79.0,E,0
Need for Speed III: Hot Pursuit,PS,Racing,3.12,88.0,E,1
Strikers 1945,PS,Shooter,0.12,63.0,E,0
Star Ocean: The Second Story,PS,Role-Playing,1.1,80.0,E,1
Planescape: Torment,PC,Role-Playing,0.03,91.0,T,0
Homeworld,PC,Strategy,0.02,93.0,E,0
Vanguard Bandits,PS,Strategy,0.07,62.0,T,0
WCW Backstage Assault,PS,Action,0.21,40.0,T,0
Bust A Groove 2,PS,Misc,0.26,66.0,E,0
Saiyuki: Journey West,PS,Strategy,0.05,73.0,E,0
Crash Team Racing,PS,Racing,4.79,88.0,E,1
Need For Speed: High Stakes,PS,Racing,2.31,86.0,E,1
Need for Speed: Porsche Unleashed,PS,Racing,0.77,78.0,E,0
Incredible Crisis,PS,Action,0.08,80.0,T,0
Driver,PS,Action,6.27,87.0,T,1
RayCrisis: Series Termination,PS,Shooter,0.02,67.0,E,0
Lunar 2: Eternal Blue Complete,PS,Role-Playing,0.35,86.0,T,0
The Longest Journey,PC,Adventure,0.02,91.0,M,0
Razor Freestyle Scooter,PS,Sports,0.46,65.0,E,0
Dragon Valor,PS,Role-Playing,0.07,57.0,T,0
Frogger 2: Swampy's Revenge,PS,Action,1.43,77.0,E,1
Age of Empires II: The Age of Kings,PC,Strategy,0.09,92.0,T,0
Pro Pinball: Big Race USA,PS,Simulation,0.66,69.0,E,0
Ape Escape,PS,Platform,1.63,90.0,E,1
SoulCalibur,DC,Fighting,0.34,98.0,T,0
ECW Anarchy Rulz,PS,Fighting,0.11,43.0,E,0
Digimon Digital Card Battle,PS,Strategy,0.11,51.0,T,0
WipEout 3,PS,Racing,0.34,89.0,E,0
Countdown Vampires,PS,Adventure,0.04,41.0,M,0
Final Fantasy Anthology,PS,Role-Playing,0.8,80.0,T,0
Grandia,PS,Role-Playing,0.25,89.0,E,0
Shenmue,DC,Adventure,1.18,88.0,T,1
Harvest Moon: Back to Nature,PS,Simulation,0.32,82.0,E,0
Silent Hill,PS,Action,1.6,86.0,M,1
SnoCross Championship Racing,PS,Racing,0.93,66.0,E,0
Tony Hawk's Pro Skater,PS,Sports,5.02,92.0,T,1
Gran Turismo 2,PS,Racing,9.49,93.0,T,1
Chrono Cross,PS,Role-Playing,1.86,94.0,T,1
Surf Riders,PS,Sports,0.13,64.0,E,0
Final Fantasy VIII,PS,Role-Playing,7.86,90.0,T,1
Seaman,DC,Simulation,0.52,82.0,T,0
Parasite Eve II,PS,Role-Playing,0.58,79.0,M,0
The Grinch,PS,Adventure,0.52,55.0,E,0
Valkyrie Profile,PS,Role-Playing,0.81,81.0,T,0
The Legend of Dragoon,PS,Role-Playing,1.86,74.0,T,1
Woody Woodpecker Racing,PS,Racing,0.11,46.0,E,0
Sheep,PS,Strategy,0.02,71.0,E,0
Persona 2: Eternal Punishment,PS,Role-Playing,0.35,83.0,T,0
Tekken Tag Tournament,PS2,Fighting,4.05,85.0,T,1
Kengo: Master of Bushido,PS2,Fighting,0.39,62.0,M,0
Dino Crisis 2,PS,Action,1.21,86.0,M,1
ESPN Winter X Games: Snowboarding 2002,PS2,Sports,0.21,64.0,T,0
Spyro: Year of the Dragon,PS,Platform,3.71,91.0,E,1
Unreal Tournament,PS2,Shooter,0.58,77.0,M,0
