0,1,2,3,4
5,9,59.0,6,0
5,9,64.0,2,0
5,8,85.0,4,0
6,2,69.0,6,1
5,0,86.0,4,1
6,2,89.0,6,1
6,0,91.0,6,1
6,5,83.0,1,0
6,3,92.0,3,1
6,0,91.0,4,1
5,7,94.0,4,1
5,8,96.0,4,1
6,7,92.0,6,1
6,7,86.0,6,0
6,7,83.0,6,1
6,4,93.0,6,1
6,9,91.0,1,0
6,9,83.0,6,0
6,6,96.0,1,1
6,8,76.0,6,0
6,0,85.0,6,1
6,2,83.0,6,1
6,0,87.0,4,1
6,7,66.0,1,0
5,1,83.0,1,1
6,8,79.0,1,0
6,4,85.0,6,1
6,4,91.0,1,1
6,2,93.0,6,1
6,2,61.0,6,0
6,4,88.0,6,0
6,7,81.0,4,1
6,2,96.0,6,1
6,2,84.0,6,0
6,9,83.0,1,1
6,4,69.0,1,0
6,7,82.0,6,0
6,8,92.0,6,1
6,0,70.0,6,1
6,7,81.0,1,1
6,0,94.0,4,1
5,11,88.0,6,0
6,7,78.0,6,0
6,10,94.0,1,0
6,0,89.0,4,1
6,7,84.0,6,1
6,1,49.0,4,0
6,5,79.0,1,0
6,6,88.0,1,1
6,8,63.0,1,0
6,7,80.0,1,1
5,7,91.0,6,0
5,11,93.0,1,0
6,11,62.0,6,0
6,0,40.0,6,0
6,3,66.0,1,0
6,11,73.0,1,0
6,6,88.0,1,1
6,6,86.0,1,1
6,6,78.0,1,0
6,0,80.0,6,0
6,0,87.0,6,1
6,8,67.0,1,0
6,7,86.0,6,0
5,1,91.0,4,0
6,10,65.0,1,0
6,7,57.0,6,0
6,0,77.0,1,1
5,11,92.0,6,0
6,9,69.0,1,0
6,4,90.0,1,1
1,2,98.0,6,0
6,2,43.0,1,0
6,11,51.0,6,0
6,6,89.0,1,0
6,1,41.0,4,0
6,7,80.0,6,0
6,7,89.0,1,0
1,1,88.0,6,1
6,9,82.0,1,0
6,0,86.0,4,1
6,6,66.0,1,0
6,10,92.0,6,1
6,6,93.0,6,1
6,7,94.0,6,1
6,10,64.0,1,0
6,7,90.0,6,1
1,9,82.0,6,0
6,7,79.0,4,0
6,1,55.0,1,0
6,7,81.0,6,0
6,7,74.0,6,1
6,6,46.0,1,0
6,11,71.0,1,0
6,7,83.0,6,0
7,2,85.0,6,1
7,2,62.0,4,0
6,0,86.0,4,1
7,10,64.0,6,0
6,4,91.0,1,1
7,8,77.0,4,0
6,6,69.0,1,0
6,10,69.0,1,0
6,10,71.0,1,0
7,10,51.0,1,0
6,0,68.0,1,0
6,10,70.0,1,0
6,3,82.0,1,0
7,6,67.0,1,0
6,2,28.0,4,0
6,1,75.0,1,0
6,9,74.0,1,0
6,6,57.0,1,0
7,5,79.0,1,0
7,9,78.0,6,0
7,8,66.0,6,0
7,6,77.0,1,0
6,7,42.0,1,0
6,0,77.0,4,0
6,10,60.0,1,0
7,0,65.0,6,0
7,10,62.0,1,0
6,1,51.0,4,0
7,8,63.0,4,0
6,0,61.0,1,0
7,2,75.0,6,0
7,6,71.0,1,0
5,3,82.0,6,1
7,8,72.0,6,0
1,10,97.0,1,1
6,8,78.0,6,0
7,10,65.0,1,0
7,7,80.0,6,1
6,11,62.0,6,0
6,0,39.0,4,0
5,9,92.0,6,0
6,6,43.0,1,0
7,6,78.0,6,1
7,6,79.0,6,1
6,8,61.0,4,0
7,7,59.0,6,0
7,10,54.0,1,0
7,9,58.0,6,0
